species,longitude,latitude,q5_depth,q95_depth,q5_velocity,q95_velocity,q5_ss,q95_ss,q5_slope,q95_slope,q5_reynolds,q95_reynolds,q5_froude,q95_froude
background,2263098.594,1862845.264,0.8798296,-0.6293594,0.0019483,0.0034118,0,0,0.2458978,0.2534339,108.2902451,336.8990173,0.0007561,0.0005859
background,2263524.027,1862778.611,1.798559,0.2838471,0.0003453,0.0086091,0,0,0.4500917,0.4498648,55.3442802,396.0583496,0,0.0021462
background,2263362.622,1863049.896,2.2951794,0.7969195,0.0010494,0.0141328,0,0,0.366755,0.3674173,231.6509094,946.6436157,0.0000049,0.0028729
background,2263008.033,1863055.002,2.61182,1.1137358,0.0020165,0.0003062,0,0,1.30273,1.3031796,489.4444885,20.9484062,0.0000329,0.0000594
background,2262577.296,1862455.359,-0.1414461,-1.6617988,0.0050174,0.0166073,0,0.000425,2.7357733,2.7159877,987.8794556,1856.083374,0.0007724,0.0038795
background,2262817.356,1862557.224,1.1483791,-0.4108269,0.0024123,0.053627,0,0.0022492,0.1171098,0.1150253,298.3347168,942.9646606,0.000396,0.0331655
background,2262516.612,1862516.188,-1.9093441,-3.4056146,0.0010711,0.0022948,0,0.0000128,2.5798724,2.7119391,168.012146,391.6508789,0.0001712,0.0003213
background,2262992.495,1861935.015,3.106678,1.4456186,0.0016764,0.0026668,0,0,1.5189339,1.5189546,354.9135132,493.4356689,0.0001658,0.0003888
background,2263028.672,1861943.504,3.3101544,1.6491065,0.0012818,0.0022125,0,0,0.971987,0.9720623,326.8909912,370.313446,0.0000856,0.0002145
background,2263654.527,1861953.219,0.3726568,-0.9613495,0.0004003,0,0,0,1.0937426,1.0301257,12.6641989,7.12288,0,0
background,2262524.91,1861963.853,1.5117854,-0.015036,0.0047579,0.0116893,0,0.0003199,3.0669129,2.9286327,1156.738648,1342.320313,0.0007608,0.0089971
background,2262673.491,1862120.417,1.7309152,0.1277036,0.0059833,0.0309327,0,0.0007733,3.3643904,3.4659386,1470.182617,3070.102539,0.0005101,0.0063345
background,2262842.558,1861942.204,0.7585434,-0.9022317,0.002159,0.0018478,0,0,2.0147965,2.015384,173.2056427,212.2200623,0.0014445,0.0004801
background,2263196.525,1861990.521,1.5890504,-0.017115,0.0008959,0.0008793,0,0,0.7334633,0.521793,117.4541245,27.4017029,0,0.00076
background,2269585.34,1861610.155,12.6736193,6.3917074,1.6647679,0,0.2722896,0,2.1873467,2.1890132,1672481.625,3.0261075,0.0823767,0
background,2262726.015,1861862.41,1.6438831,0.0018057,0.0055407,0.0139296,0,0,1.9585927,1.7674439,870.788208,262.1632996,0.0009325,0.0054885
background,2269219.323,1861678.969,10.709712,4.9242411,2.1561947,0,0.5906944,0,4.833384,4.153801,2319464.75,6.4897332,0.1356966,0
background,2269793.618,1861610.751,12.5084105,6.2107511,1.6166546,0,0.2577022,0,2.2311201,2.2366803,1601590.5,1.9487269,0.0803404,0
background,2262354.757,1861779.219,1.5002694,-0.2295209,0.0110162,0.0036049,0,0.0003386,2.328891,2.3407514,1875.313599,30.3102303,0.0016927,0.0078927
background,2264377.474,1861563.674,4.4462957,0.6501569,0.0429623,0,0.0000395,0,1.920628,1.9213654,15791.20313,0,0.0031788,0
background,2262220.078,1861674.821,1.9803429,-0.8465042,0.0022713,0.0039481,0,0.0000171,0.4226095,0.8681836,339.7894897,422.0461426,0.0002446,0.0006219
background,2267662.583,1861666.154,2.637785,1.3195645,0,0,0,0,1.3005273,1.262148,1.6835886,0,0,0
background,2262183.683,1861590.371,4.161674,1.0389152,0.0014484,0.0232051,0,0.0000204,2.4749022,2.1998744,295.8112488,2567.57666,0.0000794,0.0035873
background,2269618.153,1861710.262,13.0355301,6.7520566,1.4797801,0,0.2139108,0,2.3261507,2.3161576,1526379,1.9729358,0.0721148,0
background,2268990.813,1861553.585,6.4891038,0.960457,1.9004307,0,0.6857395,0,6.6319675,6.0234766,1295367.5,3.485487,0.2456943,0
background,2265098.121,1861852.154,3.2978561,-0.4995108,0.029261,0,0.0000701,0,1.8521651,1.5937363,10867.41504,0,0.0022746,0
background,2269463.064,1861684.458,14.1670189,7.8887348,1.4827898,0,0.2156968,0,1.3424156,1.3353624,1651982.75,2.0661707,0.0705053,0
background,2265565.918,1861837.351,0.693755,-0.8234314,0.1478324,0,0.0102451,0,0.9355433,0.232739,12264.45703,0,0.0277138,0
background,2267787.167,1861764.765,-0.6265802,-1.4009317,0,0,0,0,1.5240645,1.2353313,3.9073491,0,0,0
