species,latitude,longitude,q5_velocity,q5_ss,q5_reynolds,q5_froude,q5_depth,q5_slope,q95_velocity,q95_ss,q95_reynolds,q95_froude,q95_depth,q95_slope
mcat,1828494.279,2251026.624,0.6960449,0.0604089,336793.0625,0.0496334,6.1103535,0.0154981,0.0253425,0,5360.14209,0.0029066,2.647459,0.0165131
mcat,1828358.438,2251032.734,0.8514979,0.0921195,397113.875,0.0617097,5.8894038,0.325199,0.0384582,0.000049,7510.501465,0.0044444,2.432153,0.3238679
mcat,1827381.14,2252938.462,2.3731267,0.6124403,1753062.625,0.1373074,9.3286591,2.1436238,0.4905787,0.0302883,226785.9219,0.0357129,5.8413076,2.1223967
mcat,1827282.729,2254285.5,1.8444067,0.3960171,1106772.75,0.1180577,7.5762777,0.6707774,0.3636856,0.018972,114595.7266,0.0319584,3.9788167,0.6705247
mcat,1826919.285,2253995.003,1.1023874,0.1531711,540861.8125,0.0783686,6.1789641,1.1535825,0.4108341,0.028165,85418.03125,0.0447585,2.6184301,1.1491114
mcat,1827219.481,2255247.776,1.2680758,0.207819,737536,0.0841837,6.6589584,3.3668959,0.28913,0.014936,90018.01563,0.0270282,3.0204811,3.2668431
mcat,1827211.583,2255134.405,2.1086822,0.4515078,1992447.75,0.109185,11.6920948,5.9053202,0.6207346,0.0447529,412074.3438,0.0395105,8.02985,5.9033141
mcat,1827943.468,2254055.581,2.2727191,0.5629255,1666324.75,0.1320393,9.2565155,0.047463,0.5875766,0.0441419,262820.625,0.0439808,5.6444831,0.0471705
mcat,1826996.758,2253581.321,2.3623936,0.6333065,1535160.875,0.1455421,8.2070608,0.8730298,0.6114606,0.0511006,226825.9844,0.0498573,4.6883316,0.8801496
mcat,1831707.262,2250912.683,1.5276508,0.2873079,790992.5,0.1063547,6.4727798,4.2886724,0.1337414,0.0029652,33111.58203,0.0139397,2.8497126,4.2892623
mcat,1831433.175,2250806.704,1.3026805,0.2490567,461206.8438,0.1157849,4.1883421,6.0596194,0.0820747,0.0018496,8736.829102,0.0151018,0.6943018,5.462616
mcat,1830805.16,2250535.411,1.519793,0.2773373,844428.6875,0.1013267,6.9901752,5.0046573,0.2189808,0.007347,59805.36328,0.0211372,3.4177966,4.9990826
mcat,1830946.594,2250258.79,1.307348,0.20407,736550.625,0.0866574,7.1135983,0.4136315,0.188057,0.0055928,52579.10938,0.0176325,3.5343099,0.4112257
mcat,1830153.11,2250238.261,1.6235913,0.2865404,1198885.75,0.0935711,9.3215961,3.1558747,0.2536893,0.0079057,116575.1094,0.0188801,5.782505,3.15766
mcat,1830162.127,2250080.025,1.4146124,0.247214,713162.5625,0.0988453,6.3679299,0.9308411,0.1411726,0.0035049,31289.72461,0.0149264,2.8293116,0.9280058
mcat,1831420.281,2252578.181,1.4822632,0.2201976,1500667.25,0.0741739,12.4761038,12.6809769,0.22246,0.0059736,160408.7344,0.0140711,8.7603302,12.6798143
mcat,1830995.12,2252501.068,1.7355394,0.2922268,1903631.125,0.0831815,13.743021,11.5297909,0.294015,0.0094426,234460.9688,0.0167711,10.0428581,11.5257883
mcat,1830836.501,2252455.405,2.099494,0.4700469,1811907.625,0.1141255,10.6893473,7.1637273,0.3274487,0.0136743,186797.0625,0.0228065,7.0241799,7.1546192
mcat,1829356.678,2252488.59,0.2513109,0.0135567,92680.57031,0.0210666,4.3529458,1.3673496,0.0549984,0.0009137,4795.237793,0.0093176,0.8063203,1.2159452
mcat,1829025.809,2252004.384,1.8241336,0.3584573,1482230.5,0.1030318,9.9337626,11.0025034,0.3777651,0.018469,192092.2031,0.0281732,6.3700252,10.998167
mcat,1837920.977,2254991.127,1.8737088,0.3992962,1745174.25,0.1039455,11.0987873,20.1469059,0.3450138,0.0198285,192191.0469,0.0325529,6.7077494,20.151083
mcat,1832149.69,2255456.399,1.3881818,0.2461283,693992.3125,0.09774,6.2097569,2.8521705,0.3131043,0.0170008,60543.62109,0.036145,2.3515172,2.8556855
mcat,1831985.614,2255286.795,1.2455578,0.3247111,149132.9219,0.1870789,1.4910533,4.3740635,0.0009141,0.0000134,43.4369354,0.0002016,-0.8991548,0.1515005
mcat,1829683.097,2252111.843,2.2080646,0.4819984,2464774.75,0.110948,13.3496761,20.5451813,0.3595223,0.0147259,299796.6875,0.0237791,9.7554235,20.5436325
mcat,1831363.168,2252592.791,1.1533207,0.1484347,961610,0.0658585,9.8089561,15.0914631,0.1713535,0.0040918,93667.26563,0.0144046,6.0929022,15.0896349
mcat,1830882.199,2252482.498,1.9081209,0.4244093,1441044.375,0.1246762,9.0432358,9.3378582,0.3235036,0.0144603,157305.6094,0.0246278,5.3705854,8.9897175
mcat,1829837.457,2252161.296,1.72396,0.3428314,1576998.75,0.0987647,10.0890017,25.4557171,0.236497,0.0082984,154394.0938,0.0175135,6.4858131,25.4047184
mcat,1829301.01,2252058.772,1.7141163,0.3698739,1074301,0.1172213,7.1060257,23.5800533,0.3087472,0.0174219,106138.7344,0.0335516,3.5268745,23.5678387
mcat,1831575.411,2250843.849,1.6252618,0.3161582,921860.4375,0.1076204,7.1083961,4.3162165,0.1790321,0.0049658,51502.79688,0.0169878,3.4959798,4.3094978
mcat,1827158.219,2255090.456,2.0334251,0.4353188,1750675.25,0.1105965,10.5957203,5.0897684,0.5580007,0.0378913,323176.8125,0.0381404,6.9455266,5.0856943
mcat,1827221.659,2255160.22,2.082541,0.4423643,1887797.25,0.1092696,11.3729439,1.8530415,0.6239482,0.0450774,386594,0.0395675,7.7070837,1.8530685
mcat,1827254.647,2254593.498,2.4149995,0.6883027,1404119.125,0.1578509,7.3202229,3.6837959,0.4879942,0.0353951,147533.625,0.0445456,3.7370543,3.6678376
mcat,1827236.246,2254243.382,1.8682846,0.4101455,1091646.75,0.1214714,7.3765507,0.4967807,0.3802611,0.0214619,114034.5156,0.0345717,3.7853076,0.4971437
mcat,1827296.823,2254328.166,1.80584,0.3892459,1008148.313,0.1195794,7.0477395,1.5841944,0.3261417,0.0159967,89022.45313,0.0309404,3.4468641,1.5857158
mcat,1827353.514,2254434.795,1.6495674,0.3392344,815303.25,0.1166383,6.2380028,0.807343,0.30127,0.0150847,62840.37891,0.0328329,2.6333723,0.8036829
mcat,1827265.098,2255207.794,1.9294529,0.3889413,1679433.875,0.1039408,10.7876244,3.7576914,0.5829387,0.0414403,342279.8438,0.0389248,7.1139402,3.7607658
