variable,x,y
q95_depth,-17.691954,3.0227079150790814E-6
q95_depth,-17.571407949599998,3.0227079150790814E-6
q95_depth,-17.4508618992,3.0227079150790814E-6
q95_depth,-17.330315848799998,3.0227079150790814E-6
q95_depth,-17.2097697984,3.0227079150790814E-6
q95_depth,-17.089223748,3.0227079150790814E-6
q95_depth,-16.9686776976,3.0227079150790814E-6
q95_depth,-16.8481316472,3.0227079150790814E-6
q95_depth,-16.7275855968,3.0227079150790814E-6
q95_depth,-16.6070395464,3.0227079150790814E-6
q95_depth,-16.486493495999998,3.0227079150790814E-6
q95_depth,-16.3659474456,3.0227079150790814E-6
q95_depth,-16.2454013952,3.0227079150790814E-6
q95_depth,-16.1248553448,3.0227079150790814E-6
q95_depth,-16.0043092944,3.0227079150790814E-6
q95_depth,-15.883763243999999,3.0227079150790814E-6
q95_depth,-15.7632171936,3.0227079150790814E-6
q95_depth,-15.6426711432,3.0227079150790814E-6
q95_depth,-15.5221250928,3.0227079150790814E-6
q95_depth,-15.4015790424,3.0227079150790814E-6
q95_depth,-15.281032992,3.0227079150790814E-6
q95_depth,-15.160486941599999,3.0227079150790814E-6
q95_depth,-15.039940891199999,3.0227079150790814E-6
q95_depth,-14.919394840799999,3.0227079150790814E-6
q95_depth,-14.7988487904,3.0227079150790814E-6
q95_depth,-14.67830274,3.0227079150790814E-6
q95_depth,-14.5577566896,3.0227079150790814E-6
q95_depth,-14.4372106392,3.0227079150790814E-6
q95_depth,-14.3166645888,3.0227079150790814E-6
q95_depth,-14.1961185384,3.0227079150790814E-6
q95_depth,-14.075572487999999,3.0227079150790814E-6
q95_depth,-13.955026437599999,3.0227079150790814E-6
q95_depth,-13.8344803872,3.0227079150790814E-6
q95_depth,-13.7139343368,3.0227079150790814E-6
q95_depth,-13.5933882864,3.0227079150790814E-6
q95_depth,-13.472842236,3.0227079150790814E-6
q95_depth,-13.3522961856,3.0227079150790814E-6
q95_depth,-13.231750135199999,3.0227079150790814E-6
q95_depth,-13.1112040848,3.0227079150790814E-6
q95_depth,-12.990658034399999,3.0227079150790814E-6
q95_depth,-12.870111984,3.0227079150790814E-6
q95_depth,-12.7495659336,3.0227079150790814E-6
q95_depth,-12.6290198832,3.1470531212107744E-6
q95_depth,-12.5084738328,3.5507682696334086E-6
q95_depth,-12.387927782399998,4.004810307378648E-6
q95_depth,-12.267381732,4.515271484706318E-6
q95_depth,-12.146835681599999,5.088942543807207E-6
q95_depth,-12.0262896312,5.733405942009995E-6
q95_depth,-11.9057435808,6.457137260440504E-6
q95_depth,-11.7851975304,7.269577508850489E-6
q95_depth,-11.66465148,8.181251359928865E-6
q95_depth,-11.544105429599998,9.203913577948697E-6
q95_depth,-11.4235593792,1.035063814924797E-5
q95_depth,-11.303013328799999,1.1635983355517965E-5
q95_depth,-11.1824672784,1.3076191862637643E-5
q95_depth,-11.061921228,1.4689306226500776E-5
q95_depth,-10.941375177600001,1.6495407180627808E-5
q95_depth,-10.8208291272,1.8516811906010844E-5
q95_depth,-10.7002830768,2.0778375983354636E-5
q95_depth,-10.5797370264,2.3307662559091114E-5
q95_depth,-10.459190976,2.613528340589255E-5
q95_depth,-10.3386449256,2.9295295462361537E-5
q95_depth,-10.218098875199999,3.2825420930748805E-5
q95_depth,-10.097552824800001,3.676749474834651E-5
q95_depth,-9.9770067744,4.1168015741277486E-5
q95_depth,-9.856460724,4.6078417653916404E-5
q95_depth,-9.7359146736,5.1555722166085616E-5
q95_depth,-9.6153686232,5.766303729615174E-5
q95_depth,-9.4948225728,6.447037594625726E-5
q95_depth,-9.3742765224,7.205508154584095E-5
q95_depth,-9.253730472,8.050265751080588E-5
q95_depth,-9.1331844216,8.990790229290724E-5
q95_depth,-9.0126383712,1.0037536412710324E-4
q95_depth,-8.8920923208,1.1202051973668858E-4
q95_depth,-8.7715462704,1.2497120769694448E-4
q95_depth,-8.65100022,1.3936824689153582E-4
q95_depth,-8.5304541696,1.5536702994722873E-4
q95_depth,-8.4099081192,1.7313931311946362E-4
q95_depth,-8.289362068800001,1.9287411123514175E-4
q95_depth,-8.1688160184,2.1477985137607902E-4
q95_depth,-8.048269968,2.3908595903776586E-4
q95_depth,-7.9277239176,2.66045710304752E-4
q95_depth,-7.807177867200002,2.9593711951747537E-4
q95_depth,-7.6866318168,3.290667082183063E-4
q95_depth,-7.5660857664000005,3.6577103310264647E-4
q95_depth,-7.445539716000001,4.0642055682837963E-4
q95_depth,-7.324993665600001,4.514223837759346E-4
q95_depth,-7.204447615199999,5.012231413275003E-4
q95_depth,-7.0839015648,5.563140148296952E-4
q95_depth,-6.963355514400002,6.172332214191556E-4
q95_depth,-6.842809464000002,6.845718598924577E-4
q95_depth,-6.7222634136,7.589780725538731E-4
q95_depth,-6.601717363200001,8.411615272052586E-4
q95_depth,-6.481171312800001,9.319008677266538E-4
q95_depth,-6.360625262399999,0.001032047439366579
q95_depth,-6.2400792119999995,0.0011425340780988336
q95_depth,-6.1195331616000015,0.0012643818045035005
q95_depth,-5.998987111200002,0.0013987052952870727
q95_depth,-5.8784410608,0.001546725514344871
q95_depth,-5.7578950104,0.0017097739037126303
q95_depth,-5.637348960000001,0.0018893061205744743
q95_depth,-5.516802909600001,0.0020869115833193064
q95_depth,-5.396256859199999,0.0023043218534439802
q95_depth,-5.2757108087999995,0.0025434282142668962
q95_depth,-5.1551647584000015,0.002806288655847311
q95_depth,-5.034618708000002,0.003095147432759404
q95_depth,-4.9140726576,0.0034124485682696104
q95_depth,-4.7935266072000005,0.003760848194360733
q95_depth,-4.672980556800001,0.004143238067626953
q95_depth,-4.552434506400001,0.004562762100249529
q95_depth,-4.431888455999999,0.0050228312611579895
q95_depth,-4.311342405600001,0.005527155008167028
q95_depth,-4.190796355200002,0.0060797506012022495
q95_depth,-4.070250304800002,0.006684981286525726
q95_depth,-3.9497042544000003,0.007347575388848782
q95_depth,-3.8291582040000005,0.008072643540799618
q95_depth,-3.7086121536000007,0.00886572990566492
q95_depth,-3.588066103199999,0.009732821024954319
q95_depth,-3.467520052800001,0.01068038772791624
q95_depth,-3.3469740024000014,0.011715417727828026
q95_depth,-3.2264279520000017,0.012845448218286037
q95_depth,-3.1058819016,0.014078609645366669
q95_depth,-2.9853358512000003,0.015423650853335857
q95_depth,-2.8647898008000006,0.016889991238713264
q95_depth,-2.744243750400001,0.018487747758626938
q95_depth,-2.623697700000001,0.02022779919207096
q95_depth,-2.5031516496000012,0.022121798247098923
q95_depth,-2.3826055992000015,0.024182239547371864
q95_depth,-2.2620595488000017,0.026422487571835518
q95_depth,-2.1415134984,0.028856823220849037
q95_depth,-2.0209674480000004,0.031500499695539474
q95_depth,-1.9004213976000006,0.034369755536317825
q95_depth,-1.7798753472000026,0.03748186677694321
q95_depth,-1.6593292968000029,0.04085519164800644
q95_depth,-1.5387832464000013,0.04450917989015579
q95_depth,-1.4182371959999998,0.04846441373229027
q95_depth,-1.2976911456000018,0.05274262651801109
q95_depth,-1.1771450952000038,0.057366691529750824
q95_depth,-1.0565990448000022,0.06236065551638603
q95_depth,-0.9360529944000007,0.06774970144033432
q95_depth,-0.8155069440000027,0.07356012612581253
