variable,x,y
q95_depth,-17.691954,2.947441721659061E-5
q95_depth,-17.6316809748,2.947441721659061E-5
q95_depth,-17.571407949599998,2.947441721659061E-5
q95_depth,-17.5111349244,2.947441721659061E-5
q95_depth,-17.4508618992,2.947441721659061E-5
q95_depth,-17.390588874,2.947441721659061E-5
q95_depth,-17.330315848799998,2.947441721659061E-5
q95_depth,-17.2700428236,2.947441721659061E-5
q95_depth,-17.2097697984,2.947441721659061E-5
q95_depth,-17.1494967732,2.947441721659061E-5
q95_depth,-17.089223748,2.947441721659061E-5
q95_depth,-17.028950722799998,2.947441721659061E-5
q95_depth,-16.9686776976,2.947441721659061E-5
q95_depth,-16.9084046724,2.947441721659061E-5
q95_depth,-16.8481316472,2.947441721659061E-5
q95_depth,-16.787858621999998,2.947441721659061E-5
q95_depth,-16.7275855968,2.947441721659061E-5
q95_depth,-16.6673125716,2.947441721659061E-5
q95_depth,-16.6070395464,2.947441721659061E-5
q95_depth,-16.5467665212,2.947441721659061E-5
q95_depth,-16.486493495999998,2.947441721659061E-5
q95_depth,-16.4262204708,2.947441721659061E-5
q95_depth,-16.3659474456,2.947441721659061E-5
q95_depth,-16.3056744204,2.947441721659061E-5
q95_depth,-16.2454013952,2.947441721659061E-5
q95_depth,-16.18512837,2.947441721659061E-5
q95_depth,-16.1248553448,2.947441721659061E-5
q95_depth,-16.0645823196,2.947441721659061E-5
q95_depth,-16.0043092944,2.947441721659061E-5
q95_depth,-15.9440362692,2.947441721659061E-5
q95_depth,-15.883763243999999,2.947441721659061E-5
q95_depth,-15.8234902188,2.947441721659061E-5
q95_depth,-15.7632171936,2.947441721659061E-5
q95_depth,-15.7029441684,2.947441721659061E-5
q95_depth,-15.6426711432,2.947441721659061E-5
q95_depth,-15.582398118,2.947441721659061E-5
q95_depth,-15.5221250928,2.947441721659061E-5
q95_depth,-15.461852067599999,2.947441721659061E-5
q95_depth,-15.4015790424,2.947441721659061E-5
q95_depth,-15.341306017199999,2.947441721659061E-5
q95_depth,-15.281032992,2.947441721659061E-5
q95_depth,-15.2207599668,2.947441721659061E-5
q95_depth,-15.160486941599999,2.947441721659061E-5
q95_depth,-15.1002139164,2.947441721659061E-5
q95_depth,-15.039940891199999,2.947441721659061E-5
q95_depth,-14.979667866,2.947441721659061E-5
q95_depth,-14.919394840799999,2.947441721659061E-5
q95_depth,-14.859121815599998,2.947441721659061E-5
q95_depth,-14.7988487904,2.947441721659061E-5
q95_depth,-14.7385757652,2.947441721659061E-5
q95_depth,-14.67830274,2.947441721659061E-5
q95_depth,-14.618029714799999,2.947441721659061E-5
q95_depth,-14.5577566896,2.947441721659061E-5
q95_depth,-14.497483664399999,2.947441721659061E-5
q95_depth,-14.4372106392,2.947441721659061E-5
q95_depth,-14.376937614,2.947441721659061E-5
q95_depth,-14.3166645888,2.947441721659061E-5
q95_depth,-14.2563915636,2.947441721659061E-5
q95_depth,-14.1961185384,2.947441721659061E-5
q95_depth,-14.1358455132,2.947441721659061E-5
q95_depth,-14.075572487999999,2.947441721659061E-5
q95_depth,-14.0152994628,2.947441721659061E-5
q95_depth,-13.955026437599999,2.947441721659061E-5
q95_depth,-13.8947534124,2.947441721659061E-5
q95_depth,-13.8344803872,2.947441721659061E-5
q95_depth,-13.774207361999999,2.947441721659061E-5
q95_depth,-13.7139343368,2.947441721659061E-5
q95_depth,-13.6536613116,2.947441721659061E-5
q95_depth,-13.5933882864,2.947441721659061E-5
q95_depth,-13.533115261199999,2.947441721659061E-5
q95_depth,-13.472842236,2.947441721659061E-5
q95_depth,-13.4125692108,2.947441721659061E-5
q95_depth,-13.3522961856,2.947441721659061E-5
q95_depth,-13.2920231604,2.947441721659061E-5
q95_depth,-13.231750135199999,2.947441721659061E-5
q95_depth,-13.17147711,2.947441721659061E-5
q95_depth,-13.1112040848,2.947441721659061E-5
q95_depth,-13.0509310596,2.947441721659061E-5
q95_depth,-12.990658034399999,2.947441721659061E-5
q95_depth,-12.930385009199998,2.947441721659061E-5
q95_depth,-12.870111984,2.947441721659061E-5
q95_depth,-12.8098389588,2.947441721659061E-5
q95_depth,-12.7495659336,2.947441721659061E-5
q95_depth,-12.689292908399999,2.994073925428609E-5
q95_depth,-12.6290198832,3.0407061291981563E-5
q95_depth,-12.568746858,3.1894182068370454E-5
q95_depth,-12.5084738328,3.338130284475937E-5
q95_depth,-12.4482008076,3.5010169540328206E-5
q95_depth,-12.387927782399998,3.663903623589704E-5
q95_depth,-12.327654757200001,3.8422852692576675E-5
q95_depth,-12.267381732,4.020666914925641E-5
q95_depth,-12.2071087068,4.215979656621016E-5
q95_depth,-12.146835681599999,4.411292398316391E-5
q95_depth,-12.0865626564,4.6251016632226054E-5
q95_depth,-12.0262896312,4.8389109281288256E-5
q95_depth,-11.966016606,5.0729294402174183E-5
q95_depth,-11.9057435808,5.306947952306018E-5
q95_depth,-11.8454705556,5.5630371267056914E-5
q95_depth,-11.7851975304,5.8191263011053704E-5
q95_depth,-11.7249245052,6.099315195342566E-5
q95_depth,-11.66465148,6.379504089579769E-5
q95_depth,-11.604378454799999,6.686010635377215E-5
q95_depth,-11.544105429599998,6.992517181174663E-5
q95_depth,-11.4838324044,7.327751651473591E-5
q95_depth,-11.4235593792,7.662986121772519E-5
q95_depth,-11.363286354,8.029573670853551E-5
