variable,x,y
q5_depth,-12.9401548,9.344298741780221E-4
q5_depth,-12.8236835008,9.344298741780221E-4
q5_depth,-12.7072122016,9.344298741780221E-4
q5_depth,-12.5907409024,9.344298741780221E-4
q5_depth,-12.4742696032,9.344298741780221E-4
q5_depth,-12.357798304000001,9.344298741780221E-4
q5_depth,-12.2413270048,9.344298741780221E-4
q5_depth,-12.1248557056,9.344298741780221E-4
q5_depth,-12.0083844064,9.344298741780221E-4
q5_depth,-11.8919131072,9.344298741780221E-4
q5_depth,-11.775441808,9.344298741780221E-4
q5_depth,-11.6589705088,9.344298741780221E-4
q5_depth,-11.5424992096,9.344298741780221E-4
q5_depth,-11.4260279104,9.344298741780221E-4
q5_depth,-11.3095566112,9.344298741780221E-4
q5_depth,-11.193085312000001,9.344298741780221E-4
q5_depth,-11.0766140128,9.344298741780221E-4
q5_depth,-10.9601427136,9.344298741780221E-4
q5_depth,-10.8436714144,9.344298741780221E-4
q5_depth,-10.7272001152,9.344298741780221E-4
q5_depth,-10.610728816,9.344298741780221E-4
q5_depth,-10.494257516800001,9.344298741780221E-4
q5_depth,-10.3777862176,9.344298741780221E-4
q5_depth,-10.2613149184,9.344298741780221E-4
q5_depth,-10.1448436192,9.344298741780221E-4
q5_depth,-10.028372319999999,9.344298741780221E-4
q5_depth,-9.9119010208,9.344298741780221E-4
q5_depth,-9.7954297216,9.344298741780221E-4
q5_depth,-9.678958422400001,9.344298741780221E-4
q5_depth,-9.5624871232,9.344298741780221E-4
q5_depth,-9.446015824,9.344298741780221E-4
q5_depth,-9.3295445248,9.344298741780221E-4
q5_depth,-9.2130732256,9.344298741780221E-4
q5_depth,-9.0966019264,9.344298741780221E-4
q5_depth,-8.9801306272,9.344298741780221E-4
q5_depth,-8.863659328,9.344298741780221E-4
q5_depth,-8.7471880288,9.344298741780221E-4
q5_depth,-8.6307167296,9.344298741780221E-4
q5_depth,-8.514245430399999,9.344298741780221E-4
q5_depth,-8.397774131199998,9.344298741780221E-4
q5_depth,-8.281302832000002,9.344298741780221E-4
q5_depth,-8.164831532800001,9.344298741780221E-4
q5_depth,-8.0483602336,9.555129799991846E-4
q5_depth,-7.9318889344,0.0010215651709586382
q5_depth,-7.8154176352,0.0010920334607362747
q5_depth,-7.698946336,0.00116720178630203
q5_depth,-7.5824750368,0.0012473721290007234
q5_depth,-7.4660037376,0.001332864980213344
q5_depth,-7.3495324384,0.0014240205055102706
q5_depth,-7.2330611392,0.0015211995923891664
q5_depth,-7.11658984,0.001624785247258842
q5_depth,-7.0001185408,0.0017351836431771517
q5_depth,-6.883647241599999,0.001852825516834855
q5_depth,-6.7671759424,0.0019781675655394793
q5_depth,-6.6507046432,0.0021116945426911116
q5_depth,-6.534233344,0.0022539193741977215
q5_depth,-6.4177620448,0.002405386185273528
q5_depth,-6.3012907456,0.002566672395914793
